 Nuclides of the ICRP-07 Collection Decaying by Beta Minus Emission

                                         --- Energy ---
                     Decay      Yield    Mean  End Point
  Nuclide    T1/2    Mode       (/nt)    (MeV)   (MeV)
  ------------------------------------------------------
  Te-134     41.8 m  B-       1.000E+00 0.18857 0.66631
  I-126     12.93 d  ECB+B-   4.730E-01 0.31535 1.25800*
  I-128     24.99 m  B-ECB+   9.310E-01 0.80037 2.11900*
  I-129   1.57E+7 y  B-       1.000E+00 0.05027 0.15442
  I-130     12.36 h  B-       1.000E+00 0.26742 1.74439
  I-130m     8.84 m  ITB-     1.600E-01 0.93133 2.45288
  I-131   8.02070 d  B-       1.000E+00 0.18187 0.80687
  I-132     2.295 h  B-       1.000E+00 0.48457 2.13967
  I-132m    1.387 h  ITB-     1.400E-01 0.47116 1.48490
  I-133      20.8 h  B-       1.000E+00 0.41002 1.53778
  I-134      52.5 m  B-       1.000E+00 0.56782 2.32083
  I-134m     3.60 m  ITB-     2.300E-02 0.96084 2.40219
  I-135      6.57 h  B-       1.000E+00 0.34345 2.12145
  Xe-133    5.243 d  B-       1.000E+00 0.10039 0.34640
  Xe-135     9.14 h  B-       1.000E+00 0.30500 0.91521
  Xe-135m   15.29 m  ITB-     6.000E-03 0.63906 1.69155
  Xe-137    3.818 m  B-       1.000E+00 1.69343 4.17300
  Xe-138    14.08 m  B-       1.000E+00 0.63569 2.72919
  Cs-130    29.21 m  ECB+B-   1.600E-02 0.10529 1.95700*
  Cs-132    6.479 d  ECB+B-   1.870E-02 0.23162 0.81550*
  Cs-134   2.0648 y  B-EC     1.000E+00 0.15699 1.45378
  Cs-135   2.3E+6 y  B-       1.000E+00 0.08938 0.26940
  Cs-136    13.16 d  B-       1.000E+00 0.11798 0.68160
  Cs-137  30.1671 y  B-       1.000E+00 0.18837 1.17563
  Cs-138    33.41 m  B-       1.000E+00 1.23995 3.94109
  Cs-138m    2.91 m  ITB-     1.900E-01 1.37361 3.36320
  Cs-139     9.27 m  B-       1.000E+00 1.65942 4.21300
  Cs-140     63.7 s  B-       1.000E+00 1.93315 6.21900
  Ba-139    83.06 m  B-       1.000E+00 0.89247 2.31680
  Ba-140   12.752 d  B-       1.000E+00 0.28304 1.01703
  Ba-141    18.27 m  B-       1.000E+00 0.93609 3.23000
  Ba-142     10.6 m  B-       1.000E+00 0.39021 1.95570
  La-138 1.02E+11 y  ECB-     3.360E-01 0.09555 0.25526
  La-140   1.6781 d  B-       1.000E+00 0.52481 3.76190
  La-141     3.92 h  B-       1.000E+00 0.98755 2.50200
  La-142     91.1 m  B-       1.000E+00 0.86621 4.50400
  La-143     14.2 m  B-       1.000E+00 1.29893 3.40610
  Ce-141   32.508 d  B-       1.000E+00 0.14527 0.58070
  Ce-143   33.039 h  B-       1.000E+00 0.40566 1.46140
  Ce-144   284.91 d  B-       1.000E+00 0.08228 0.31870
  Ce-145     3.01 m  B-       1.000E+00 0.63642 2.46746
  Pr-142    19.12 h  B-EC     9.998E-01 0.80987 2.16220
  Pr-143    13.57 d  B-       1.000E+00 0.31500 0.93390
  Pr-144    17.28 m  B-       1.000E+00 1.20838 2.99750
  Pr-144m     7.2 m  ITB-     7.000E-04 0.24799 1.54593
  Pr-145    5.984 h  B-       1.000E+00 0.67518 1.80500
  Pr-146    24.15 m  B-       1.000E+00 1.32363 4.22000
  Pr-147     13.4 m  B-       1.000E+00 0.83045 2.63016
  Pr-148     2.29 m  B-       1.000E+00 1.65335 4.88300
  Pr-148m    2.01 m  B-       1.000E+00 1.66314 4.18050
  Nd-147    10.98 d  B-       1.000E+00 0.23317 0.89530
  Nd-149    1.728 h  B-       1.000E+00 0.45696 1.57669
  Nd-151    12.44 m  B-       1.000E+00 0.59446 2.44200
  Nd-152     11.4 m  B-       1.000E+00 0.31866 1.11000
  Pm-146     5.53 y  ECB-     3.400E-01 0.24612 0.79476
  Pm-147   2.6234 y  B-       1.000E+00 0.06193 0.22460
  Pm-148    5.368 d  B-       1.000E+00 0.72688 2.46800
  Pm-148m   41.29 d  B-IT     9.580E-01 0.15355 1.01159
  Pm-149    53.08 h  B-       1.000E+00 0.36395 1.07100
  Pm-150     2.68 h  B-       1.000E+00 0.79932 3.45400
  Pm-151    28.40 h  B-       1.000E+00 0.27759 1.18700
  Pm-152     4.12 m  B-       1.000E+00 1.30921 3.50000
  Pm-152m    7.52 m  B-       1.000E+00 0.82803 3.27950
  Pm-153     5.25 m  B-       1.000E+00 0.66337 1.88100
  Pm-154     1.73 m  B-       1.000E+00 0.82580 3.96000
  Pm-154m    2.68 m  B-       1.000E+00 0.87537 3.81316
  Sm-151       90 y  B-       1.000E+00 0.01979 0.07670
  Sm-153    46.50 h  B-       1.000E+00 0.22357 0.80820
  Sm-155     22.3 m  B-       1.000E+00 0.55115 1.62710
  Sm-156      9.4 h  B-       1.000E+00 0.17902 0.72200
  Sm-157     8.03 m  B-       1.000E+00 0.85819 2.73000
  Eu-150m    12.8 h  B-ECB+   8.900E-01 0.34430 1.28110*
  Eu-152   13.537 y  ECB+B-   2.790E-01 0.29627 1.47452*
  Eu-152m  9.3116 h  B-ECB+   7.200E-01 0.68747 1.86440*
  Eu-154    8.593 y  B-EC     9.998E-01 0.21999 1.84533
  Eu-155   4.7611 y  B-       1.000E+00 0.04683 0.25220
  Eu-156    15.19 d  B-       1.000E+00 0.43161 2.45100
  Eu-157    15.18 h  B-       1.000E+00 0.36758 1.29908
  Eu-158     45.9 m  B-       1.000E+00 0.84793 3.40549
  Eu-159     18.1 m  B-       1.000E+00 0.85129 2.44623
  Gd-159   18.479 h  B-       1.000E+00 0.30379 0.97060
  Gd-162      8.4 m  B-       1.000E+00 0.31968 1.04859
  Tb-158      180 y  ECB-     1.660E-01 0.26921 0.83788
  Tb-160     72.3 d  B-       1.000E+00 0.20919 1.74851
  Tb-161    6.906 d  B-       1.000E+00 0.15426 0.59310
  Tb-162     7.60 m  B-       1.000E+00 0.48649 2.51000
  Tb-163     19.5 m  B-       1.000E+00 0.33128 1.36312
  Tb-164      3.0 m  B-       1.000E+00 0.74459 3.64778
  Tb-165     2.11 m  B-       1.000E+00 0.87242 2.85184
  Dy-165    2.334 h  B-       1.000E+00 0.43974 1.28670
  Dy-165m   1.257 m  ITB-     2.240E-02 0.29643 1.03329
  Dy-166     81.6 h  B-       1.000E+00 0.11969 0.48690
  Dy-167     6.20 m  B-       1.000E+00 0.65768 2.09066
  Dy-168      8.7 m  B-       1.000E+00 0.35926 1.31280
  Ho-164       29 m  ECB-     4.000E-01 0.31147 0.96280
  Ho-166    26.80 h  B-       1.000E+00 0.66499 1.85390
  Ho-166m 1.20E+3 y  B-       1.000E+00 0.03884 1.31444
  Ho-167      3.1 h  B-       1.000E+00 0.19008 1.00700
  Ho-168     2.99 m  B-       1.000E+00 0.76775 2.66592
  Ho-170     2.76 m  B-       1.000E+00 0.73661 3.32932
  Er-169     9.40 d  B-       1.000E+00 0.09961 0.35090
  Er-171    7.516 h  B-       1.000E+00 0.35953 1.49070
  Er-172     49.3 h  B-       1.000E+00 0.10722 0.89100
  Er-173    1.434 m  B-       1.000E+00 0.63261 2.29227
  Tm-168     93.1 d  ECB+B-   1.000E-04 0.04549 0.57720*
  Tm-170    128.6 d  B-EC     9.987E-01 0.31707 0.96800
